HomeTeam,AwayTeam,Prediction
Brighton,Crystal Palace,1
Brighton,Bournemouth,1
Brighton,Fulham,NA
Brighton,Wolves,NA
Brighton,Everton,0
Brighton,Brentford,NA
Brighton,Nottm Forrest,NA
Brighton,Luton Town,NA
Brighton,Burnley,0
Brighton,Sheffield United,NA
Bournemouth,Man City,0
Bournemouth,Arsenal,0
Bournemouth,Liverpool,0
Bournemouth,Aston Villa,1
Bournemouth,Tottenham,0
Bournemouth,Chelsea,0
Bournemouth,Newcastle,1
Bournemouth,Man United,0
Bournemouth,West Ham,0
Bournemouth,Crystal Palace,1
Bournemouth,Brighton,0
Bournemouth,Fulham,NA
Bournemouth,Wolves,NA
Bournemouth,Everton,0
Bournemouth,Brentford,NA
Bournemouth,Nottm Forrest,NA
Bournemouth,Luton Town,NA
Bournemouth,Burnley,0
Bournemouth,Sheffield United,NA
Fulham,Man City,0
Fulham,Arsenal,0
Fulham,Liverpool,0
Fulham,Aston Villa,0
Fulham,Tottenham,0
Fulham,Chelsea,0
Fulham,Newcastle,0
Fulham,Man United,0
Fulham,West Ham,0
Fulham,Crystal Palace,0
Fulham,Brighton,NA
Fulham,Bournemouth,NA
Fulham,Wolves,1
Fulham,Everton,0
Fulham,Brentford,NA
Fulham,Nottm Forrest,NA
Fulham,Luton Town,NA
Fulham,Burnley,1
Fulham,Sheffield United,0
Wolves,Man City,0
Wolves,Arsenal,0
Wolves,Liverpool,0
Wolves,Aston Villa,0
Wolves,Tottenham,0
Wolves,Chelsea,0
Wolves,Newcastle,0
Wolves,Man United,0
Wolves,West Ham,1
Wolves,Crystal Palace,NA
Wolves,Brighton,NA
Wolves,Bournemouth,NA
Wolves,Fulham,0
Wolves,Everton,0
Wolves,Brentford,NA
Wolves,Nottm Forrest,NA
Wolves,Luton Town,NA
Wolves,Burnley,0
Wolves,Sheffield United,NA
Everton,Man City,0
Everton,Arsenal,0
Everton,Liverpool,0
Everton,Aston Villa,1
Everton,Tottenham,0
Everton,Chelsea,0
Everton,Newcastle,1
Everton,Man United,0
Everton,West Ham,1
Everton,Crystal Palace,1
Everton,Brighton,0
Everton,Bournemouth,1
Everton,Fulham,1
Everton,Wolves,1
Everton,Brentford,NA
Everton,Nottm Forrest,NA
Everton,Luton Town,NA
Everton,Burnley,1
Everton,Sheffield United,1
Brentford,Man City,NA
Brentford,Arsenal,NA
Brentford,Liverpool,NA
Brentford,Aston Villa,NA
Brentford,Tottenham,NA
Brentford,Chelsea,NA
Brentford,Newcastle,NA
Brentford,Man United,NA
Brentford,West Ham,NA
Brentford,Crystal Palace,NA
Brentford,Brighton,NA
Brentford,Bournemouth,NA
Brentford,Fulham,NA
Brentford,Wolves,NA
Brentford,Everton,NA
Brentford,Nottm Forrest,NA
Brentford,Luton Town,NA
Brentford,Burnley,NA
Brentford,Sheffield United,NA
Nottm Forrest,Man City,NA
Nottm Forrest,Arsenal,NA
Nottm Forrest,Liverpool,NA
Nottm Forrest,Aston Villa,NA
Nottm Forrest,Tottenham,NA
Nottm Forrest,Chelsea,NA
Nottm Forrest,Newcastle,NA
Nottm Forrest,Man United,NA
Nottm Forrest,West Ham,NA
Nottm Forrest,Crystal Palace,NA
Nottm Forrest,Brighton,NA
Nottm Forrest,Bournemouth,NA
Nottm Forrest,Fulham,NA
Nottm Forrest,Wolves,NA
Nottm Forrest,Everton,NA
Nottm Forrest,Brentford,NA
Nottm Forrest,Luton Town,NA
Nottm Forrest,Burnley,NA
Nottm Forrest,Sheffield United,NA
Luton Town,Man City,NA
Luton Town,Arsenal,NA
Luton Town,Liverpool,NA
Luton Town,Aston Villa,NA
Luton Town,Tottenham,NA
Luton Town,Chelsea,NA
Luton Town,Newcastle,NA
Luton Town,Man United,NA
Luton Town,West Ham,NA
Luton Town,Crystal Palace,NA
Luton Town,Brighton,NA
Luton Town,Bournemouth,NA
Luton Town,Fulham,NA
Luton Town,Wolves,NA
Luton Town,Everton,NA
Luton Town,Brentford,NA
Luton Town,Nottm Forrest,NA
Luton Town,Burnley,NA
Luton Town,Sheffield United,NA
Burnley,Man City,0
Burnley,Arsenal,0
Burnley,Liverpool,0
Burnley,Aston Villa,0
Burnley,Tottenham,0
Burnley,Chelsea,0
Burnley,Newcastle,0
Burnley,Man United,0
Burnley,West Ham,0
Burnley,Crystal Palace,1
Burnley,Brighton,1
Burnley,Bournemouth,1
Burnley,Fulham,0
Burnley,Wolves,1
Burnley,Everton,0
Burnley,Brentford,NA
Burnley,Nottm Forrest,NA
Burnley,Luton Town,NA
Burnley,Sheffield United,NA
Sheffield United,Man City,0
Sheffield United,Arsenal,0
Sheffield United,Liverpool,1
Sheffield United,Aston Villa,0
Sheffield United,Tottenham,0
Sheffield United,Chelsea,0
Sheffield United,Newcastle,0
Sheffield United,Man United,0
Sheffield United,West Ham,1
Sheffield United,Crystal Palace,NA
Sheffield United,Brighton,NA
Sheffield United,Bournemouth,NA
Sheffield United,Fulham,0
Sheffield United,Wolves,NA
Sheffield United,Everton,0
Sheffield United,Brentford,NA
Sheffield United,Nottm Forrest,NA
Sheffield United,Luton Town,NA
Sheffield United,Burnley,NA
