HomeTeam,AwayTeam,Prediction
Liverpool,Fulham,1
ManchesterCity,Tottenham,NA
Newcastle,ManchesterUnited,NA
Wolverhampton,Burnley,NA
CrystalPalace,WestHam,NA
Everton,NottinghamForest,NA
Fulham,Liverpool,0
LutonTown,Brentford,NA
SheffieldUnited,Burnley,NA
Wolverhampton,Arsenal,NA
Bournemouth,Brighton,0
AstonVilla,Chelsea,NA
Everton,Brentford,NA
Fulham,CrystalPalace,NA
ManchesterUnited,Burnley,NA
Newcastle,SheffieldUnited,NA
NottinghamForest,ManchesterCity,NA
Tottenham,Arsenal,0
WestHam,Liverpool,NA
Wolverhampton,LutonTown,NA
Arsenal,Bournemouth,1
Brentford,Fulham,NA
Brighton,AstonVilla,NA
Burnley,Newcastle,1
Chelsea,WestHam,NA
Liverpool,Tottenham,1
LutonTown,Everton,NA
ManchesterCity,Wolverhampton,NA
SheffieldUnited,NottinghamForest,NA
WestHam,LutonTown,NA
Wolverhampton,CrystalPalace,NA
Bournemouth,Brentford,NA
AstonVilla,Liverpool,NA
Everton,SheffieldUnited,NA
Fulham,ManchesterCity,NA
ManchesterUnited,Arsenal,NA
Newcastle,Brighton,0
NottinghamForest,Chelsea,NA
Tottenham,Burnley,1
Arsenal,Everton,1
Brentford,Newcastle,NA
Brighton,ManchesterUnited,NA
Burnley,NottinghamForest,NA
CrystalPalace,AstonVilla,NA
Liverpool,Wolverhampton,NA
LutonTown,Fulham,NA
ManchesterCity,WestHam,NA
SheffieldUnited,Tottenham,NA
